.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,m,.,.,.,.,.,.,.,.,.,.,.,.,c,.,m,.,.,.,.,.,.
.,.,.,.,.,m,.,m,.,.,.,.,.,.,.,.,.,m,.,m,.,m,.,.,.,.,.,d
.,.,.,.,m,.,.,.,m,.,.,.,m,m,.,m,m,.,m,.,m,m,.,.,.,.,.,m
m,.,m,m,.,.,.,.,.,m,.,m,.,.,.,.,.,.,.,.,.,.,m,m,c,m,.,m
m,m,m,m,.,.,.,.,.,.,m,.,.,.,.,.,.,.,.,.,.,.,.,.,m,.,m,.
